human,machine
monday november 16 1981,1981-11-16
friday april 21 1972,1972-04-21
3/12/12,2012-03-12
5 03 16,2016-03-05
13 jun 2015,2015-06-13
09 sep 1988,1988-09-09
19.03.90,1990-03-19
26 jan 1991,1991-01-26
tuesday october 14 2003,2003-10-14
tuesday september 6 1977,1977-09-06
friday april 17 1981,1981-04-17
august 28 2001,2001-08-28
26 oct 2002,2002-10-26
thursday march 23 2017,2017-03-23
wednesday june 25 1975,1975-06-25
sunday june 1 1980,1980-06-01
6 february 1983,1983-02-06
may 27 2015,2015-05-27
wednesday july 19 1972,1972-07-19
september 5 2004,2004-09-05
7 january 1989,1989-01-07
monday may 23 2016,2016-05-23
friday august 29 1997,1997-08-29
thursday december 24 1987,1987-12-24
october 23 1994,1994-10-23
september 3 1988,1988-09-03
wednesday december 18 2002,2002-12-18
8 august 2011,2011-08-08
march 10 1992,1992-03-10
wednesday january 28 2009,2009-01-28
11/7/01,2001-11-07
04.06.70,1970-06-04
saturday february 11 1984,1984-02-11
january 5 1976,1976-01-05
thursday august 20 1987,1987-08-20
8 august 1986,1986-08-08
monday march 30 1970,1970-03-30
april 21 1971,1971-04-21
october 21 2015,2015-10-21
4 april 1974,1974-04-04
1 july 2014,2014-07-01
24 september 1976,1976-09-24
friday june 25 2004,2004-06-25
may 31 2004,2004-05-31
16 jun 1975,1975-06-16
12 jan 1978,1978-01-12
june 6 1982,1982-06-06
friday june 6 2003,2003-06-06
9 jul 1977,1977-07-09
04 jul 2001,2001-07-04
august 31 2017,2017-08-31
07 may 1989,1989-05-07
friday may 11 1984,1984-05-11
tuesday july 12 2016,2016-07-12
thursday december 8 2011,2011-12-08
12 apr 1994,1994-04-12
tuesday february 28 1978,1978-02-28
wednesday november 3 1982,1982-11-03
27 october 2015,2015-10-27
thursday january 12 1984,1984-01-12
07.05.94,1994-05-07
friday october 3 1975,1975-10-03
24 dec 1996,1996-12-24
9 february 2010,2010-02-09
5 04 15,2015-04-05
december 8 2011,2011-12-08
saturday july 19 1997,1997-07-19
18 january 1990,1990-01-18
2/13/89,1989-02-13
10.10.09,2009-10-10
november 23 1993,1993-11-23
wednesday october 5 1994,1994-10-05
saturday september 24 1983,1983-09-24
tuesday february 15 2005,2005-02-15
5 october 2015,2015-10-05
sunday october 8 1978,1978-10-08
jul 20 1998,1998-07-20
saturday december 20 1975,1975-12-20
wednesday june 21 1972,1972-06-21
saturday october 27 1984,1984-10-27
thursday june 14 2018,2018-06-14
sunday november 2 1975,1975-11-02
02.03.10,2010-03-02
sunday november 30 1997,1997-11-30
saturday january 25 1992,1992-01-25
7 april 2010,2010-04-07
sunday april 21 1974,1974-04-21
9 nov 1983,1983-11-09
5 jul 1979,1979-07-05
03 sep 2007,2007-09-03
friday december 24 1999,1999-12-24
5 feb 1998,1998-02-05
12/23/87,1987-12-23
tuesday august 24 1999,1999-08-24
31 may 1994,1994-05-31
sunday august 12 1973,1973-08-12
thursday july 2 1992,1992-07-02
thursday january 13 2000,2000-01-13
tuesday august 28 2018,2018-08-28
15 january 1970,1970-01-15
saturday march 20 1999,1999-03-20
10 dec 1992,1992-12-10
sunday april 11 1999,1999-04-11
1 october 1998,1998-10-01
6 aug 1989,1989-08-06
february 1 1971,1971-02-01
monday june 8 1981,1981-06-08
sunday march 14 2010,2010-03-14
sunday january 31 2010,2010-01-31
5 august 1995,1995-08-05
10 12 87,1987-12-10
15.06.03,2003-06-15
saturday march 10 2007,2007-03-10
tuesday november 6 2007,2007-11-06
20 march 2009,2009-03-20
monday august 2 2004,2004-08-02
may 17 2008,2008-05-17
january 4 1998,1998-01-04
aug 30 2013,2013-08-30
march 24 1988,1988-03-24
tuesday september 7 1982,1982-09-07
14 october 2005,2005-10-14
sunday march 23 2008,2008-03-23
tuesday august 17 2004,2004-08-17
december 28 1974,1974-12-28
thursday april 16 2015,2015-04-16
sunday april 1 1990,1990-04-01
friday august 15 2014,2014-08-15
1/20/04,2004-01-20
friday august 21 2015,2015-08-21
july 13 1974,1974-07-13
18 jun 1976,1976-06-18
28 11 97,1997-11-28
thursday july 11 1985,1985-07-11
september 17 1971,1971-09-17
april 30 2007,2007-04-30
20 july 1979,1979-07-20
29 jun 2004,2004-06-29
monday july 14 1997,1997-07-14
13 september 2009,2009-09-13
19 jul 1985,1985-07-19
27 august 1979,1979-08-27
friday august 10 2001,2001-08-10
9 07 15,2015-07-09
27 may 1996,1996-05-27
monday february 29 1988,1988-02-29
04 oct 2011,2011-10-04
21 feb 1985,1985-02-21
october 9 1986,1986-10-09
5/1/18,2018-05-01
16 mar 2008,2008-03-16
saturday november 19 2016,2016-11-19
5 02 82,1982-02-05
wednesday march 19 1975,1975-03-19
friday april 16 1982,1982-04-16
september 20 1986,1986-09-20
18 nov 1981,1981-11-18
thursday july 9 1981,1981-07-09
14 aug 1972,1972-08-14
15 jan 1978,1978-01-15
sunday june 3 2001,2001-06-03
july 23 1978,1978-07-23
6 jun 1976,1976-06-06
sunday june 23 1985,1985-06-23
12/27/78,1978-12-27
september 23 1990,1990-09-23
saturday january 16 1988,1988-01-16
22 feb 1972,1972-02-22
thursday september 13 2007,2007-09-13
december 25 1984,1984-12-25
28 nov 1971,1971-11-28
thursday march 7 1974,1974-03-07
14 oct 1987,1987-10-14
5 apr 1993,1993-04-05
29 sep 2000,2000-09-29
sunday january 24 2016,2016-01-24
17 november 1976,1976-11-17
24 apr 1994,1994-04-24
13 02 72,1972-02-13
friday july 30 2004,2004-07-30
wednesday november 19 1980,1980-11-19
wednesday october 18 1978,1978-10-18
31 january 1997,1997-01-31
sunday august 24 1997,1997-08-24
4 may 2010,2010-05-04
25 november 1979,1979-11-25
monday november 9 2015,2015-11-09
tuesday february 26 1985,1985-02-26
friday april 18 2008,2008-04-18
18 april 1991,1991-04-18
28 apr 1978,1978-04-28
saturday june 10 2017,2017-06-10
february 2 1998,1998-02-02
sunday may 23 2010,2010-05-23
march 24 2000,2000-03-24
july 31 1991,1991-07-31
1/20/73,1973-01-20
tuesday june 13 2000,2000-06-13
saturday august 4 2007,2007-08-04
02 mar 2006,2006-03-02
20 apr 1971,1971-04-20
25 february 1993,1993-02-25
november 1 2017,2017-11-01
30 sep 1975,1975-09-30
january 17 1974,1974-01-17
19 oct 1982,1982-10-19
27 july 2005,2005-07-27
thursday march 25 1993,1993-03-25
march 2 2006,2006-03-02
sunday april 27 1997,1997-04-27
27 march 2004,2004-03-27
saturday march 1 1975,1975-03-01
7 may 2017,2017-05-07
25.04.83,1983-04-25
10 may 1999,1999-05-10
30 06 76,1976-06-30
11/19/97,1997-11-19
sunday march 29 1970,1970-03-29
30 may 2007,2007-05-30
16 oct 1973,1973-10-16
sunday august 30 1992,1992-08-30
thursday december 7 1978,1978-12-07
november 24 1987,1987-11-24
4 september 1993,1993-09-04
12 february 2009,2009-02-12
september 22 1988,1988-09-22
saturday june 13 2009,2009-06-13
tuesday december 19 1995,1995-12-19
5 september 1990,1990-09-05
29.10.13,2013-10-29
20.07.79,1979-07-20
19 may 2014,2014-05-19
04 dec 1978,1978-12-04
sunday october 2 1994,1994-10-02
saturday april 24 2010,2010-04-24
2 05 00,2000-05-02
friday february 26 2010,2010-02-26
09 apr 1987,1987-04-09
thursday february 10 2000,2000-02-10
wednesday february 27 1980,1980-02-27
6 august 1990,1990-08-06
friday november 30 1990,1990-11-30
sunday april 15 2007,2007-04-15
13 jan 1998,1998-01-13
22 january 1986,1986-01-22
friday august 30 1985,1985-08-30
tuesday july 18 2017,2017-07-18
20 feb 1975,1975-02-20
september 5 1990,1990-09-05
30.07.12,2012-07-30
8 december 2002,2002-12-08
31 august 1999,1999-08-31
august 15 1973,1973-08-15
4 01 11,2011-01-04
03.01.78,1978-01-03
jan 17 2013,2013-01-17
8 01 05,2005-01-08
thursday april 4 1996,1996-04-04
12/19/13,2013-12-19
thursday july 1 1976,1976-07-01
thursday november 14 2013,2013-11-14
tuesday february 27 1973,1973-02-27
friday december 8 1989,1989-12-08
sunday june 13 2004,2004-06-13
17.05.90,1990-05-17
tuesday january 18 1977,1977-01-18
15 aug 2016,2016-08-15
monday december 6 1976,1976-12-06
18 november 2009,2009-11-18
thursday august 30 1979,1979-08-30
08.09.05,2005-09-08
30 august 2000,2000-08-30
13 september 1998,1998-09-13
12/4/84,1984-12-04
monday december 23 1985,1985-12-23
24.08.74,1974-08-24
august 30 1982,1982-08-30
thursday may 11 2006,2006-05-11
9 august 1989,1989-08-09
5/2/72,1972-05-02
wednesday april 1 1987,1987-04-01
friday may 15 1992,1992-05-15
oct 6 2000,2000-10-06
14 april 2000,2000-04-14
saturday august 1 1998,1998-08-01
7 02 74,1974-02-07
friday february 19 1971,1971-02-19
11/7/99,1999-11-07
monday february 9 1998,1998-02-09
25 may 1986,1986-05-25
tuesday november 22 1983,1983-11-22
10 sep 1986,1986-09-10
tuesday may 16 2006,2006-05-16
april 20 1990,1990-04-20
6/10/14,2014-06-10
1 july 1999,1999-07-01
tuesday december 12 2000,2000-12-12
21 apr 2015,2015-04-21
july 19 2018,2018-07-19
14 february 1985,1985-02-14
sunday october 3 2010,2010-10-03
20 apr 2014,2014-04-20
saturday april 28 2007,2007-04-28
sunday november 6 2005,2005-11-06
12 mar 1981,1981-03-12
6 january 1991,1991-01-06
sunday september 13 1981,1981-09-13
april 19 1986,1986-04-19
wednesday november 20 2013,2013-11-20
16 may 1996,1996-05-16
28 sep 1995,1995-09-28
december 24 1999,1999-12-24
15 february 2009,2009-02-15
12 september 1971,1971-09-12
6 august 1987,1987-08-06
monday february 28 1972,1972-02-28
15 oct 1989,1989-10-15
tuesday december 23 2008,2008-12-23
13.06.95,1995-06-13
3 01 10,2010-01-03
wednesday june 30 2010,2010-06-30
mar 3 2015,2015-03-03
18 05 92,1992-05-18
wednesday november 7 1979,1979-11-07
feb 5 1979,1979-02-05
wednesday february 27 1980,1980-02-27
25 dec 1986,1986-12-25
thursday january 8 2015,2015-01-08
october 15 2004,2004-10-15
wednesday april 1 1970,1970-04-01
2/2/72,1972-02-02
monday february 18 2002,2002-02-18
tuesday november 3 1987,1987-11-03
24 02 91,1991-02-24
thursday december 26 1974,1974-12-26
wednesday april 7 2004,2004-04-07
thursday june 18 1970,1970-06-18
19 nov 1987,1987-11-19
monday october 27 1997,1997-10-27
15 september 1994,1994-09-15
11 jan 1980,1980-01-11
tuesday may 7 1996,1996-05-07
friday january 29 2016,2016-01-29
21 feb 2002,2002-02-21
28 october 2001,2001-10-28
saturday february 26 1977,1977-02-26
10 december 2014,2014-12-10
3 february 1972,1972-02-03
monday march 13 1989,1989-03-13
monday july 27 2009,2009-07-27
friday june 12 1981,1981-06-12
friday january 24 1997,1997-01-24
28 aug 1987,1987-08-28
january 24 1972,1972-01-24
08.09.89,1989-09-08
thursday october 17 1985,1985-10-17
13 nov 1989,1989-11-13
9/10/79,1979-09-10
wednesday september 21 1983,1983-09-21
friday february 10 2012,2012-02-10
30 jun 2015,2015-06-30
9 may 1987,1987-05-09
monday march 22 2004,2004-03-22
september 17 2006,2006-09-17
thursday july 10 2008,2008-07-10
15 november 2000,2000-11-15
saturday july 31 1993,1993-07-31
5 june 1994,1994-06-05
6 nov 1994,1994-11-06
1 april 2018,2018-04-01
june 13 1987,1987-06-13
2 april 2004,2004-04-02
thursday september 26 2002,2002-09-26
saturday september 24 2005,2005-09-24
26.05.74,1974-05-26
25 sep 1971,1971-09-25
wednesday november 16 2011,2011-11-16
31 03 73,1973-03-31
4 nov 1978,1978-11-04
friday october 3 2014,2014-10-03
february 22 1998,1998-02-22
saturday march 26 1988,1988-03-26
22 01 83,1983-01-22
friday august 25 1972,1972-08-25
november 7 1996,1996-11-07
monday october 6 1986,1986-10-06
friday july 6 2007,2007-07-06
4/11/98,1998-04-11
26 sep 1996,1996-09-26
21 october 2009,2009-10-21
8/18/72,1972-08-18
1/10/14,2014-01-10
saturday december 18 1976,1976-12-18
27 apr 1988,1988-04-27
monday november 25 1974,1974-11-25
23 may 2008,2008-05-23
25 june 1978,1978-06-25
24 october 1975,1975-10-24
26 december 2008,2008-12-26
12/22/07,2007-12-22
monday july 11 2016,2016-07-11
10 november 1982,1982-11-10
friday may 25 1990,1990-05-25
monday september 1 2003,2003-09-01
friday february 2 1996,1996-02-02
22 nov 1977,1977-11-22
02 feb 2006,2006-02-02
12 mar 2000,2000-03-12
wednesday november 5 2008,2008-11-05
20 09 81,1981-09-20
monday january 2 2017,2017-01-02
tuesday march 7 1972,1972-03-07
friday september 15 1989,1989-09-15
september 29 2010,2010-09-29
sunday may 17 1987,1987-05-17
04.06.06,2006-06-04
18 sep 1996,1996-09-18
19 apr 2004,2004-04-19
05 nov 1994,1994-11-05
tuesday january 20 2009,2009-01-20
5 september 1974,1974-09-05
wednesday june 27 1984,1984-06-27
monday july 2 2001,2001-07-02
march 12 2016,2016-03-12
friday july 21 1972,1972-07-21
13 apr 2007,2007-04-13
19 aug 2009,2009-08-19
friday september 9 2016,2016-09-09
13 august 1982,1982-08-13
apr 1 2004,2004-04-01
monday october 3 2016,2016-10-03
monday march 21 2016,2016-03-21
06 apr 1973,1973-04-06
saturday february 18 2012,2012-02-18
8/28/03,2003-08-28
24 april 1977,1977-04-24
22 apr 1990,1990-04-22
nov 3 1980,1980-11-03
25.06.93,1993-06-25
13 feb 2008,2008-02-13
3 05 74,1974-05-03
27 08 94,1994-08-27
monday august 7 1972,1972-08-07
29 11 76,1976-11-29
11.04.93,1993-04-11
10 07 99,1999-07-10
30 mar 1986,1986-03-30
2 sep 1991,1991-09-02
06 mar 1987,1987-03-06
01 jan 2005,2005-01-01
tuesday february 2 1971,1971-02-02
12/23/75,1975-12-23
19 may 1988,1988-05-19
tuesday march 11 2008,2008-03-11
18 nov 1995,1995-11-18
saturday august 22 2015,2015-08-22
friday march 7 1997,1997-03-07
20.04.71,1971-04-20
saturday february 25 1978,1978-02-25
sunday april 24 2016,2016-04-24
wednesday february 8 2012,2012-02-08
6 apr 2004,2004-04-06
sunday april 1 1984,1984-04-01
06 feb 1971,1971-02-06
jul 5 2014,2014-07-05
sunday january 25 1987,1987-01-25
1 01 88,1988-01-01
sunday march 24 1996,1996-03-24
friday august 14 2009,2009-08-14
december 2 1995,1995-12-02
11/18/16,2016-11-18
wednesday august 21 1985,1985-08-21
18 may 1989,1989-05-18
wednesday january 30 2013,2013-01-30
20 mar 2003,2003-03-20
13 jun 2018,2018-06-13
saturday april 24 1999,1999-04-24
15 apr 1977,1977-04-15
tuesday may 31 1977,1977-05-31
friday april 13 2018,2018-04-13
thursday may 30 1996,1996-05-30
march 14 1990,1990-03-14
thursday february 21 2008,2008-02-21
saturday september 16 1995,1995-09-16
6 december 2017,2017-12-06
7 june 2009,2009-06-07
aug 13 2012,2012-08-13
friday february 16 1973,1973-02-16
jan 7 1998,1998-01-07
24 july 2008,2008-07-24
tuesday october 10 1995,1995-10-10
26 april 1973,1973-04-26
14 april 2002,2002-04-14
20.04.95,1995-04-20
april 2 2005,2005-04-02
wednesday may 4 1988,1988-05-04
tuesday december 12 2006,2006-12-12
march 25 2005,2005-03-25
26 aug 2002,2002-08-26
wednesday august 1 1990,1990-08-01
18 07 07,2007-07-18
20 sep 1985,1985-09-20
monday january 3 2011,2011-01-03
june 8 1989,1989-06-08
thursday september 7 2017,2017-09-07
28 may 1999,1999-05-28
monday november 20 2017,2017-11-20
friday december 12 2014,2014-12-12
february 27 1990,1990-02-27
10 mar 1979,1979-03-10
27 june 1973,1973-06-27
22 november 1977,1977-11-22
june 10 1973,1973-06-10
thursday january 26 1984,1984-01-26
sunday september 12 1976,1976-09-12
2 march 2013,2013-03-02
saturday august 24 1985,1985-08-24
friday january 19 1979,1979-01-19
sunday april 11 2004,2004-04-11
20 february 2009,2009-02-20
4 march 1985,1985-03-04
10 03 73,1973-03-10
friday march 20 1987,1987-03-20
21 sep 2008,2008-09-21
september 9 2012,2012-09-09
thursday august 31 2017,2017-08-31
4 april 1980,1980-04-04
tuesday august 5 1975,1975-08-05
26 mar 1976,1976-03-26
13 jan 1990,1990-01-13
23 feb 1989,1989-02-23
friday june 23 2006,2006-06-23
13 april 1971,1971-04-13
10 05 77,1977-05-10
7 mar 2006,2006-03-07
saturday july 10 2004,2004-07-10
11 april 2013,2013-04-11
16 mar 2018,2018-03-16
12 jan 2006,2006-01-12
14 october 1972,1972-10-14
saturday july 10 2004,2004-07-10
21 feb 1977,1977-02-21
tuesday january 2 2001,2001-01-02
7 march 1978,1978-03-07
tuesday august 26 1975,1975-08-26
monday june 20 1977,1977-06-20
tuesday may 16 2006,2006-05-16
september 12 1972,1972-09-12
31 10 15,2015-10-31
january 2 2011,2011-01-02
27 oct 1985,1985-10-27
16 sep 2015,2015-09-16
october 2 1995,1995-10-02
september 8 1993,1993-09-08
february 12 1988,1988-02-12
12/31/95,1995-12-31
wednesday december 21 2016,2016-12-21
thursday march 22 1990,1990-03-22
wednesday february 15 1984,1984-02-15
sunday august 8 2010,2010-08-08
17 may 2014,2014-05-17
17 sep 1990,1990-09-17
friday september 3 1971,1971-09-03
friday march 24 2000,2000-03-24
tuesday december 7 2010,2010-12-07
10 oct 1992,1992-10-10
21.10.80,1980-10-21
saturday september 17 1988,1988-09-17
monday january 22 1973,1973-01-22
january 15 1973,1973-01-15
22 february 2002,2002-02-22
may 23 1996,1996-05-23
nov 26 1989,1989-11-26
wednesday september 14 2011,2011-09-14
october 28 2005,2005-10-28
august 29 1983,1983-08-29
september 7 2004,2004-09-07
4 july 1987,1987-07-04
sep 11 2007,2007-09-11
wednesday september 8 1971,1971-09-08
september 5 1995,1995-09-05
sunday march 16 2014,2014-03-16
wednesday april 15 1987,1987-04-15
saturday may 7 1988,1988-05-07
jun 24 2010,2010-06-24
wednesday october 6 1971,1971-10-06
thursday december 29 1994,1994-12-29
wednesday october 29 1980,1980-10-29
monday june 6 2016,2016-06-06
friday march 18 2011,2011-03-18
6 05 95,1995-05-06
6/29/96,1996-06-29
december 30 1982,1982-12-30
thursday may 8 1986,1986-05-08
3 july 1996,1996-07-03
monday january 26 1998,1998-01-26
friday january 14 1972,1972-01-14
5/28/09,2009-05-28
monday october 20 1986,1986-10-20
december 27 1979,1979-12-27
saturday march 21 1981,1981-03-21
04 oct 1984,1984-10-04
tuesday october 11 1988,1988-10-11
sunday august 14 1983,1983-08-14
06.05.78,1978-05-06
wednesday april 11 2018,2018-04-11
wednesday may 27 1987,1987-05-27
sunday february 20 1977,1977-02-20
26 jul 1978,1978-07-26
01.08.75,1975-08-01
2 october 2014,2014-10-02
aug 10 2010,2010-08-10
friday february 5 1982,1982-02-05
17 august 1985,1985-08-17
december 1 1989,1989-12-01
13 12 96,1996-12-13
wednesday november 26 1980,1980-11-26
25 08 85,1985-08-25
6/18/89,1989-06-18
14.03.75,1975-03-14
11 apr 1977,1977-04-11
02.05.72,1972-05-02
jul 16 1980,1980-07-16
march 10 1992,1992-03-10
april 23 2011,2011-04-23
saturday march 13 2010,2010-03-13
sunday september 2 2012,2012-09-02
june 12 2003,2003-06-12
apr 7 1990,1990-04-07
26 12 09,2009-12-26
april 1 2014,2014-04-01
thursday august 2 1984,1984-08-02
28.03.18,2018-03-28
29 jan 1989,1989-01-29
wednesday january 11 2017,2017-01-11
2 apr 1991,1991-04-02
august 27 2005,2005-08-27
19 september 2002,2002-09-19
friday april 6 2018,2018-04-06
thursday april 18 1985,1985-04-18
2 february 2016,2016-02-02
friday july 4 1986,1986-07-04
18 jun 1984,1984-06-18
03.08.81,1981-08-03
monday march 12 2001,2001-03-12
jan 20 2012,2012-01-20
friday november 29 1974,1974-11-29
27 jun 2006,2006-06-27
monday august 18 1975,1975-08-18
friday october 12 1990,1990-10-12
monday january 18 2010,2010-01-18
tuesday september 10 1985,1985-09-10
aug 7 2001,2001-08-07
7 august 1971,1971-08-07
7/30/99,1999-07-30
11 nov 1982,1982-11-11
17 apr 2009,2009-04-17
19 jan 2018,2018-01-19
july 27 2008,2008-07-27
wednesday june 7 2017,2017-06-07
wednesday february 14 1996,1996-02-14
wednesday may 15 2013,2013-05-15
january 28 1997,1997-01-28
sunday may 11 1980,1980-05-11
8/31/75,1975-08-31
wednesday august 26 1970,1970-08-26
thursday may 12 2011,2011-05-12
7 may 2016,2016-05-07
saturday january 31 1998,1998-01-31
2/28/13,2013-02-28
tuesday march 12 1985,1985-03-12
7/30/91,1991-07-30
5 august 1999,1999-08-05
tuesday may 20 1986,1986-05-20
friday october 19 1973,1973-10-19
january 10 1993,1993-01-10
18 07 99,1999-07-18
october 15 2005,2005-10-15
tuesday november 28 2017,2017-11-28
may 21 1999,1999-05-21
12.08.88,1988-08-12
22 jun 2017,2017-06-22
saturday july 19 2003,2003-07-19
25 april 1984,1984-04-25
tuesday june 28 1977,1977-06-28
tuesday april 15 1980,1980-04-15
wednesday december 31 1997,1997-12-31
sunday november 8 1970,1970-11-08
wednesday january 11 1995,1995-01-11
saturday july 27 1996,1996-07-27
31 march 2004,2004-03-31
january 15 2005,2005-01-15
monday december 21 1970,1970-12-21
wednesday december 12 2012,2012-12-12
jul 26 1996,1996-07-26
thursday december 6 1990,1990-12-06
28 july 2001,2001-07-28
6 feb 1981,1981-02-06
september 13 1970,1970-09-13
thursday december 30 1976,1976-12-30
september 12 1972,1972-09-12
16 jul 2006,2006-07-16
thursday october 20 1983,1983-10-20
9/16/11,2011-09-16
sunday june 8 2014,2014-06-08
1/14/98,1998-01-14
wednesday july 16 1980,1980-07-16
sunday may 7 1978,1978-05-07
6 november 2012,2012-11-06
saturday august 6 1977,1977-08-06
11/1/98,1998-11-01
wednesday february 13 1980,1980-02-13
30.11.81,1981-11-30
tuesday march 17 2009,2009-03-17
september 12 2004,2004-09-12
saturday august 26 1972,1972-08-26
monday october 2 1989,1989-10-02
friday january 11 1991,1991-01-11
sunday september 3 1989,1989-09-03
wednesday august 11 1982,1982-08-11
02 oct 1998,1998-10-02
01 jun 2015,2015-06-01
saturday december 9 1989,1989-12-09
7 july 2012,2012-07-07
april 21 2002,2002-04-21
thursday april 25 1974,1974-04-25
july 20 1995,1995-07-20
november 24 2005,2005-11-24
september 4 1991,1991-09-04
friday april 21 1972,1972-04-21
16 mar 1988,1988-03-16
2 aug 1982,1982-08-02
saturday october 8 2011,2011-10-08
dec 2 1997,1997-12-02
wednesday october 24 1984,1984-10-24
monday october 10 2005,2005-10-10
2 may 1993,1993-05-02
29 may 2004,2004-05-29
july 24 2012,2012-07-24
april 1 2008,2008-04-01
3 04 11,2011-04-03
saturday august 8 1970,1970-08-08
wednesday september 6 2017,2017-09-06
9 aug 1986,1986-08-09
thursday january 21 1988,1988-01-21
17 november 2017,2017-11-17
3 august 2015,2015-08-03
27 august 1978,1978-08-27
mar 10 2003,2003-03-10
wednesday june 15 1988,1988-06-15
sunday december 6 2015,2015-12-06
3 november 2011,2011-11-03
monday october 4 1999,1999-10-04
wednesday september 12 1979,1979-09-12
18 april 1998,1998-04-18
19 09 92,1992-09-19
wednesday april 8 1970,1970-04-08
14 june 2000,2000-06-14
wednesday april 8 1981,1981-04-08
aug 12 1988,1988-08-12
29 09 82,1982-09-29
monday december 3 2001,2001-12-03
sunday february 8 2015,2015-02-08
12.07.01,2001-07-12
jul 18 1985,1985-07-18
february 10 1978,1978-02-10
23 jan 1986,1986-01-23
21 feb 2002,2002-02-21
tuesday february 27 2007,2007-02-27
may 29 1980,1980-05-29
january 23 1978,1978-01-23
tuesday december 10 1985,1985-12-10
january 28 2007,2007-01-28
saturday march 2 1974,1974-03-02
wednesday april 5 1978,1978-04-05
tuesday september 29 1992,1992-09-29
17 06 09,2009-06-17
5 april 1977,1977-04-05
saturday october 11 1997,1997-10-11
friday july 25 1975,1975-07-25
3 december 1979,1979-12-03
saturday january 9 1993,1993-01-09
12 jan 1999,1999-01-12
november 8 1991,1991-11-08
9 april 1996,1996-04-09
tuesday december 2 1986,1986-12-02
14 apr 1975,1975-04-14
sunday november 21 1999,1999-11-21
17 12 04,2004-12-17
apr 18 1984,1984-04-18
20 jan 1972,1972-01-20
28 may 1998,1998-05-28
10/22/08,2008-10-22
monday april 13 1998,1998-04-13
10 december 1979,1979-12-10
saturday september 10 2016,2016-09-10
wednesday july 1 1998,1998-07-01
13 jul 2011,2011-07-13
15.05.03,2003-05-15
monday january 1 1979,1979-01-01
18 aug 2008,2008-08-18
10.03.79,1979-03-10
july 19 1981,1981-07-19
monday october 2 1989,1989-10-02
monday january 16 1989,1989-01-16
21 december 2014,2014-12-21
18 october 2015,2015-10-18
tuesday december 5 2017,2017-12-05
11 april 1990,1990-04-11
29 october 1987,1987-10-29
thursday june 9 2005,2005-06-09
7 12 89,1989-12-07
28 aug 2007,2007-08-28
december 11 1974,1974-12-11
22 02 73,1973-02-22
saturday september 15 2001,2001-09-15
12 jul 1989,1989-07-12
17 august 1970,1970-08-17
november 19 1985,1985-11-19
friday february 27 1976,1976-02-27
may 11 1984,1984-05-11
4/20/18,2018-04-20
29 07 99,1999-07-29
24 august 1985,1985-08-24
friday march 22 1996,1996-03-22
jul 5 2002,2002-07-05
sunday september 15 2013,2013-09-15
1/22/17,2017-01-22
wednesday april 4 1990,1990-04-04
12 august 1998,1998-08-12
5 09 01,2001-09-05
november 11 2017,2017-11-11
thursday april 23 2009,2009-04-23
thursday february 22 2001,2001-02-22
july 24 2004,2004-07-24
1 october 2018,2018-10-01
sunday april 6 1997,1997-04-06
02.01.98,1998-01-02
27 january 1975,1975-01-27
6 december 1997,1997-12-06
28 aug 1987,1987-08-28
friday june 22 2012,2012-06-22
17 june 2002,2002-06-17
thursday march 8 1973,1973-03-08
28 sep 1971,1971-09-28
friday march 12 2010,2010-03-12
19 july 2018,2018-07-19
may 26 1976,1976-05-26
monday march 17 2003,2003-03-17
january 19 1999,1999-01-19
saturday november 5 2005,2005-11-05
august 29 1973,1973-08-29
18 05 95,1995-05-18
23 05 80,1980-05-23
saturday july 15 1972,1972-07-15
friday december 11 2015,2015-12-11
saturday october 17 1981,1981-10-17
2 12 71,1971-12-02
wednesday august 30 2017,2017-08-30
march 4 2004,2004-03-04
monday november 20 1989,1989-11-20
friday june 20 2003,2003-06-20
january 13 2011,2011-01-13
june 26 1984,1984-06-26
29 january 1971,1971-01-29
28 august 2017,2017-08-28
sunday may 13 1973,1973-05-13
6/28/89,1989-06-28
16 feb 1973,1973-02-16
23 jul 1992,1992-07-23
16 october 2005,2005-10-16
sunday december 9 1973,1973-12-09
august 29 1983,1983-08-29
08 sep 1997,1997-09-08
aug 26 1990,1990-08-26
9 august 2004,2004-08-09
saturday march 23 1974,1974-03-23
jul 31 1973,1973-07-31
11 jan 1978,1978-01-11
tuesday february 21 1995,1995-02-21
30 05 72,1972-05-30
23 july 1992,1992-07-23
thursday october 17 2013,2013-10-17
august 27 2002,2002-08-27
aug 29 2008,2008-08-29
27 12 87,1987-12-27
25.07.17,2017-07-25
11 dec 1990,1990-12-11
tuesday september 10 2002,2002-09-10
april 8 1994,1994-04-08
thursday november 30 1978,1978-11-30
thursday october 25 2007,2007-10-25
25 jun 1970,1970-06-25
tuesday june 26 1979,1979-06-26
thursday april 10 2008,2008-04-10
08.04.89,1989-04-08
27 sep 1992,1992-09-27
15 september 1986,1986-09-15
thursday may 31 2001,2001-05-31
19.11.87,1987-11-19
21 may 1984,1984-05-21
february 17 2003,2003-02-17
3 jan 1980,1980-01-03
thursday july 17 2014,2014-07-17
26 september 2010,2010-09-26
31 jan 1992,1992-01-31
january 27 1994,1994-01-27
6 jan 2018,2018-01-06
sunday september 20 2015,2015-09-20
31 august 1978,1978-08-31
8 september 1991,1991-09-08
12 february 1991,1991-02-12
22 jul 1983,1983-07-22
9 apr 1983,1983-04-09
tuesday february 14 1989,1989-02-14
friday february 25 1972,1972-02-25
